,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,변동계수
1589,6,2,3,4,2,3,4,2.45
1590,3,3,2,2,2,1,4,2.479591836734694
1591,1,1,1,1,1,1,1,0.0
1592,7,5,6,6,6,6,4,6.010526315789474
1593,1,1,2,3,2,1,2,2.25
1594,9,8,10,10,9,8,10,10.155555555555557
1595,7,6,6,6,6,5,5,8.492753623188406
1596,6,8,6,5,9,10,9,3.9842105263157896
1597,3,4,2,3,5,4,3,3.5000000000000004
1598,8,8,9,7,10,8,7,7.607476635514018
1599,1,1,1,1,2,1,1,2.9999999999999996
1600,2,1,3,2,2,2,1,2.695652173913044
1601,1,2,1,1,1,1,1,2.9999999999999996
1602,1,1,1,1,1,1,1,0.0
1603,3,4,5,5,3,3,3,3.905263157894737
1604,2,4,2,5,8,5,4,2.0825242718446604
1605,4,3,4,3,3,4,3,6.471698113207547
1606,9,5,5,7,6,5,5,3.9215686274509802
1607,8,8,9,9,10,8,6,6.632
1608,2,3,5,3,8,9,10,1.7569230769230768
1609,4,5,6,3,7,5,6,3.807407407407407
1610,6,6,8,7,9,8,8,6.575221238938053
1611,7,7,8,10,9,8,9,7.468468468468467
1612,5,3,3,1,1,1,1,1.3630573248407643
1613,9,10,7,5,5,5,4,2.7956521739130435
1614,1,1,1,1,1,1,1,0.0
1615,5,6,3,6,6,2,2,2.2698412698412698
1616,6,5,4,6,6,7,4,4.8053097345132745
1617,6,5,5,7,8,8,7,5.1732283464566935
1618,1,2,5,5,7,4,2,1.733644859813084
1619,9,8,8,7,6,7,6,6.567567567567567
1620,1,1,3,3,2,1,3,2.0
1621,1,1,1,1,2,1,2,2.63265306122449
1622,7,5,7,4,3,3,7,2.7634408602150535
1623,1,1,3,2,2,3,1,2.066666666666667
1624,1,1,1,1,1,1,1,0.0
1625,2,2,3,3,3,3,2,4.849056603773584
1626,2,4,4,4,3,3,3,4.328947368421052
1627,9,9,9,10,10,10,10,18.056603773584904
1628,3,2,1,1,2,1,1,1.9873417721518987
1629,3,4,3,2,5,5,10,1.7310606060606062
1630,2,5,4,3,3,3,3,3.463157894736842
1631,5,7,6,5,7,9,7,4.692857142857143
1632,6,10,5,6,5,7,5,3.4944444444444445
1633,7,6,6,4,6,5,8,4.651162790697675
1634,2,1,1,1,1,1,2,2.63265306122449
1635,5,4,2,1,3,2,2,1.963768115942029
1636,2,3,2,4,3,2,5,2.608695652173913
1637,7,7,5,6,9,7,7,5.669421487603306
1638,10,4,4,7,10,10,8,2.803703703703704
1639,4,4,3,5,5,8,5,3.0955414012738856
1640,6,4,9,4,4,2,4,2.1312217194570136
1641,2,2,2,2,2,2,2,0.0
1642,10,8,9,9,9,9,6,6.748031496062993
1643,9,8,8,6,8,6,7,6.575221238938053
1644,1,1,2,3,2,1,1,1.9873417721518987
1645,2,3,2,3,1,3,3,3.0759493670886076
1646,1,1,1,1,1,2,3,1.810126582278481
1647,5,5,9,9,8,5,8,3.6649214659685865
1648,5,4,5,3,3,2,1,2.1933333333333334
1649,4,4,3,4,4,6,4,4.6
1650,2,1,1,2,3,1,1,1.9873417721518987
1651,8,5,6,6,5,8,8,4.692857142857143
1652,6,4,4,5,5,4,7,4.347826086956522
1653,1,3,1,2,1,2,2,2.25
1654,10,10,10,10,10,10,10,0.0
1655,3,4,1,3,2,2,2,2.479591836734694
1656,3,4,2,4,2,8,6,1.8904109589041096
1657,3,3,3,3,2,1,1,2.4105263157894736
1658,5,7,6,6,4,4,5,4.7657657657657655
1659,6,5,5,3,3,7,8,2.798941798941799
1660,3,1,3,2,2,1,1,2.066666666666667
1661,2,3,2,2,3,3,2,4.584905660377358
1662,8,4,5,5,7,9,7,3.552486187845304
1663,2,3,2,3,1,1,2,2.4390243902439024
1664,2,1,1,1,5,2,3,1.4657534246575343
1665,3,3,4,3,2,4,6,2.811023622047244
1666,1,2,2,3,2,2,2,3.4482758620689657
1667,2,1,1,2,2,2,2,3.489795918367347
1668,3,9,6,3,5,5,4,2.4038461538461537
1669,1,1,1,2,1,1,1,2.9999999999999996
1670,9,6,8,8,7,7,9,6.945945945945946
1671,7,7,9,9,7,7,7,7.724489795918368
1672,1,1,1,2,3,1,8,0.9455252918287939
1673,4,6,7,3,4,2,1,1.820754716981132
1674,5,4,5,6,4,5,5,7.043478260869566
1675,7,5,5,5,5,6,5,6.873417721518987
1676,1,2,3,3,1,2,1,2.066666666666667
1677,2,2,2,3,1,2,2,3.4482758620689657
1678,8,6,6,5,7,7,5,5.666666666666666
1679,10,9,9,9,8,6,4,3.707547169811321
1680,1,1,1,1,1,2,1,2.9999999999999996
1681,7,9,9,9,8,9,9,10.848101265822784
1682,8,9,8,6,7,7,9,6.945945945945946
1683,1,1,1,1,1,1,1,0.0
1684,6,8,6,8,9,8,6,5.832
1685,7,7,6,5,6,6,6,8.898550724637682
1686,5,3,5,9,6,4,6,2.857894736842105
1687,5,8,7,9,9,9,9,5.228758169934641
1688,4,2,4,3,3,6,4,2.968
1689,5,4,4,3,5,4,4,6.0
1690,3,3,1,4,2,3,6,2.0
1691,6,6,7,6,7,5,7,8.276315789473685
1692,9,8,8,7,9,9,9,10.670886075949367
1693,10,10,10,10,10,10,8,12.776315789473685
1694,2,2,1,3,1,3,3,2.3777777777777778
1695,6,5,5,5,6,4,5,7.449275362318841
1696,7,6,6,9,6,9,8,5.282608695652175
1697,3,2,3,5,3,3,4,3.463157894736842
1698,9,7,10,9,10,9,10,8.542056074766355
1699,5,5,4,4,4,3,3,4.878048780487805
1700,8,5,6,6,7,5,6,5.738317757009345
1701,8,9,10,7,8,10,10,7.322314049586777
1702,7,7,8,6,7,7,9,7.673684210526316
1703,4,4,2,4,3,2,3,3.488888888888889
1704,2,1,1,1,1,1,1,2.9999999999999996
1705,9,7,8,3,10,10,9,3.265306122448979
1706,2,1,1,1,1,1,2,2.63265306122449
1707,8,8,10,10,10,7,8,6.968000000000001
1708,4,6,6,7,6,6,7,6.0
1709,2,1,1,1,1,1,1,2.9999999999999996
1710,5,8,7,7,5,5,6,5.074380165289256
1711,7,8,6,7,6,7,1,2.5974025974025974
1712,4,2,1,2,1,2,2,2.0
1713,5,4,3,8,9,5,5,2.590697674418605
1714,1,1,1,1,1,1,1,0.0
1715,7,7,8,7,7,7,7,18.789473684210524
1716,4,4,5,5,4,4,3,6.0
1717,2,2,2,3,3,3,4,3.5657894736842106
1718,8,10,9,7,9,10,8,7.846846846846847
1719,1,1,1,1,1,1,1,0.0
1720,7,3,2,1,2,2,1,1.2415458937198067
1721,5,9,3,4,9,4,8,2.3255813953488373
1722,7,6,2,2,2,1,1,1.2244897959183672
1723,8,7,6,6,8,7,8,7.933333333333333
1724,8,8,9,10,7,9,8,8.60204081632653
1725,6,6,5,6,8,7,6,6.621052631578948
1726,1,1,1,1,2,1,1,2.9999999999999996
1727,4,4,5,6,5,6,10,2.7718446601941746
1728,1,1,3,2,2,2,2,2.695652173913044
1729,2,1,2,2,2,1,1,2.9622641509433962
1730,3,6,3,2,7,6,4,2.331578947368421
1731,7,8,3,9,8,8,8,3.6818181818181817
1732,6,8,8,6,6,10,8,4.920529801324503
1733,2,2,1,2,6,10,10,1.1924050632911392
1734,7,4,3,3,4,4,4,3.0666666666666664
1735,1,1,1,1,1,1,1,0.0
1736,8,10,8,10,8,8,7,7.460176991150443
1737,2,2,2,1,2,4,2,2.3777777777777778
1738,9,6,10,9,10,10,9,6.382978723404256
1739,5,6,7,6,8,7,6,6.561224489795918
1740,4,5,6,6,4,4,5,5.4
1741,1,1,2,2,1,2,2,2.9622641509433962
1742,9,9,8,7,6,6,8,5.960629921259843
1743,3,3,3,3,3,3,2,7.526315789473684
1744,4,4,3,5,5,5,7,3.768
1745,7,7,6,5,6,8,7,6.704081632653062
1746,1,1,1,1,1,1,1,0.0
1747,9,8,8,8,9,6,8,8.0
1748,10,9,7,10,6,8,6,4.624277456647399
1749,8,10,10,10,4,5,5,2.7518518518518515
1750,2,1,1,1,2,2,1,2.6981132075471694
1751,2,5,2,7,8,8,8,2.076363636363636
1752,9,9,7,10,10,9,9,9.0
1753,10,10,10,10,9,8,7,7.553719008264464
1754,8,8,8,9,9,9,9,16.169811320754718
1755,6,7,2,4,5,7,4,2.73224043715847
1756,9,6,8,6,5,6,6,4.692857142857143
1757,5,1,1,2,8,1,4,1.1760299625468165
1758,10,9,9,8,7,8,7,7.468468468468467
1759,6,9,10,7,5,4,3,2.45703125
1760,1,1,1,1,1,1,1,0.0
1761,2,1,1,2,1,1,3,1.9873417721518987
1762,1,1,3,2,2,1,1,1.9873417721518987
1763,4,1,1,3,2,4,5,1.8216560509554138
1764,1,1,1,1,1,1,1,0.0
1765,1,1,1,1,1,1,3,1.6973684210526316
1766,3,1,2,2,1,1,2,2.25
1767,7,6,7,8,7,8,6,8.536585365853659
1768,2,2,3,2,2,3,2,4.673469387755103
1769,4,4,5,7,8,1,4,2.056768558951965
1770,4,6,6,6,5,6,6,7.050632911392405
1771,1,2,1,1,1,1,2,2.63265306122449
1772,2,2,2,3,3,2,3,4.584905660377358
1773,6,9,9,10,10,3,4,2.4880546075085324
1774,10,3,3,5,4,2,4,1.6780303030303028
1775,2,3,3,4,4,5,8,2.123076923076923
1776,1,1,1,1,1,1,3,1.6973684210526316
1777,5,6,8,5,9,7,6,4.3509933774834435
1778,3,1,1,1,1,1,1,1.6973684210526316
1779,8,9,8,7,8,9,9,10.907894736842104
1780,9,7,7,5,8,6,8,5.288888888888888
1781,2,1,2,3,5,4,1,1.7019867549668872
1782,5,9,3,7,4,5,9,2.5210084033613445
1783,1,2,1,1,2,1,1,2.63265306122449
1784,3,4,2,3,2,2,2,3.253164556962025
1785,5,6,7,5,9,9,8,4.046242774566474
1786,6,8,8,8,6,7,6,7.0
1787,5,4,4,6,5,5,5,7.043478260869566
1788,8,2,3,3,3,2,2,1.5373831775700935
1789,3,2,2,10,10,9,4,1.5145888594164456
1790,2,3,3,4,6,4,5,2.859259259259259
1791,9,10,10,10,10,10,10,25.94736842105263
1792,2,1,1,1,1,1,1,2.9999999999999996
1793,4,3,4,3,3,3,3,6.714285714285714
1794,6,7,7,8,8,8,9,7.724489795918368
1795,1,1,2,2,1,2,3,2.25
1796,3,3,1,4,1,4,2,2.0236220472440944
1797,8,8,8,7,5,6,3,3.3842105263157896
1798,7,5,5,6,4,6,9,3.6809815950920246
1799,9,9,8,5,8,8,7,5.586956521739131
1800,2,8,10,10,9,10,9,2.8885017421602783
1801,4,3,6,2,10,4,8,1.843205574912892
1802,9,10,8,9,9,9,8,12.840579710144928
1803,1,2,3,3,3,3,3,3.253164556962025
1804,4,6,6,9,9,9,8,3.6818181818181817
1805,2,2,2,2,2,2,2,0.0
1806,2,3,1,1,1,1,1,1.810126582278481
1807,10,10,10,10,9,9,10,19.816326530612248
1808,1,1,1,2,1,2,2,2.6981132075471694
1809,2,2,2,1,2,1,3,2.695652173913044
1810,6,10,10,10,3,7,3,2.2151898734177213
1811,6,9,10,10,10,9,10,6.26027397260274
1812,9,8,8,9,9,8,8,15.905660377358489
1813,4,5,6,5,5,4,5,7.043478260869566
1814,2,2,4,3,2,1,4,2.274336283185841
1815,6,3,4,4,7,6,9,2.6908212560386477
1816,6,5,5,6,5,4,6,6.9605263157894735
1817,3,3,2,3,3,3,3,7.526315789473684
1818,2,3,4,4,8,3,7,1.9865470852017937
1819,5,7,6,10,5,10,6,3.2407407407407405
1820,5,8,7,8,9,8,8,5.960629921259843
1821,3,2,3,3,3,4,3,5.172413793103448
1822,1,1,1,1,1,1,1,0.0
1823,1,1,1,2,1,1,1,2.9999999999999996
1824,3,1,1,1,2,3,2,2.066666666666667
1825,8,7,4,7,5,5,4,3.5687499999999996
1826,8,9,7,8,7,7,7,9.582278481012658
1827,4,3,3,2,4,3,1,2.672897196261682
1828,7,6,8,9,8,8,8,8.115789473684211
1829,8,9,6,8,8,7,7,7.724489795918368
1830,8,9,9,10,10,10,10,11.936708860759493
1831,5,5,8,4,4,5,3,3.0955414012738856
1832,1,1,4,2,1,1,2,1.5405405405405403
1833,6,9,10,9,10,10,10,6.26027397260274
1834,5,5,5,8,5,6,5,4.92920353982301
1835,4,5,4,6,5,4,6,5.4
1836,1,2,4,3,3,1,1,1.7685950413223142
1837,5,4,4,4,3,1,4,2.811023622047244
1838,6,9,8,5,9,4,5,3.173913043478261
1839,6,6,7,6,5,7,7,8.276315789473685
1840,7,7,8,6,8,7,9,7.581632653061225
1841,4,3,2,3,4,3,2,3.658536585365854
1842,3,2,1,3,2,2,4,2.479591836734694
1843,6,6,7,6,5,6,5,8.492753623188406
1844,1,1,1,1,1,2,1,2.9999999999999996
1845,3,4,4,4,3,5,4,5.594202898550725
1846,6,5,3,5,6,4,4,4.243243243243243
1847,6,5,7,8,5,7,7,5.690265486725664
1848,7,9,8,5,5,6,7,4.473333333333334
1849,3,3,2,4,3,4,3,4.55072463768116
1850,1,1,1,2,1,1,1,2.9999999999999996
1851,4,8,6,9,5,6,4,3.141361256544503
1852,1,1,1,1,2,1,3,1.810126582278481
1853,6,7,2,4,7,7,6,2.9315789473684215
1854,4,3,2,3,3,6,5,2.6884057971014497
1855,8,7,8,9,10,10,8,7.584070796460178
1856,4,3,2,3,5,7,4,2.4539877300613497
1857,3,5,5,4,3,3,1,2.45
1858,3,2,1,1,2,3,3,2.3777777777777778
1859,1,1,1,1,1,1,1,0.0
1860,5,4,6,6,7,7,6,5.4766355140186915
1861,9,10,10,10,10,10,9,19.816326530612248
1862,9,10,10,9,9,9,10,17.79245283018868
1863,3,3,3,4,3,3,3,8.263157894736842
1864,2,2,4,4,3,3,4,3.488888888888889
1865,7,7,7,7,8,8,6,10.347826086956522
1866,5,3,4,1,3,1,1,1.5864197530864195
1867,1,2,3,2,2,3,1,2.4390243902439024
1868,10,9,7,9,8,6,4,3.6570048309178746
1869,9,8,8,7,8,9,9,10.907894736842104
1870,10,8,10,10,8,5,10,4.608465608465609
1871,7,7,7,7,9,8,9,8.115789473684211
1872,4,2,3,5,3,1,2,2.1185185185185182
1873,1,1,1,1,3,2,3,1.8
1874,4,2,1,2,2,2,2,2.3777777777777778
1875,8,7,8,8,6,7,7,9.592105263157894
1876,3,2,1,1,1,1,1,1.810126582278481
1877,4,3,3,6,3,2,3,2.7007874015748032
1878,1,2,1,3,1,3,1,1.8
1879,2,2,2,4,1,2,3,2.4105263157894736
1880,3,3,4,6,5,6,5,3.598425196850394
1881,6,5,5,4,6,4,8,3.8785714285714286
1882,10,10,4,3,5,4,4,1.9161073825503356
1883,5,4,5,4,6,6,7,4.7657657657657655
1884,10,8,9,4,7,7,5,3.3679245283018866
1885,1,1,1,1,1,1,1,0.0
1886,3,1,3,3,1,2,2,2.3777777777777778
1887,1,1,2,3,2,1,3,2.066666666666667
1888,4,5,5,4,3,4,3,4.878048780487805
1889,3,2,2,3,2,2,2,4.673469387755103
1890,7,8,9,10,9,9,10,8.2803738317757
1891,1,2,1,1,6,1,2,1.0928961748633879
1892,8,7,8,10,9,8,7,7.607476635514018
1893,10,10,9,7,3,9,10,3.2382812499999996
1894,6,5,6,5,7,5,9,4.205479452054794
1895,3,4,4,6,5,7,5,3.6
1896,2,2,2,3,2,3,2,4.673469387755103
1897,9,9,9,10,10,10,9,17.79245283018868
1898,2,4,2,1,3,3,4,2.4414414414414414
1899,4,9,10,10,5,8,5,2.84765625
1900,1,1,1,2,1,1,1,2.9999999999999996
1901,4,3,3,8,8,10,4,1.989547038327526
1902,2,2,1,2,1,1,3,2.25
1903,2,1,1,1,4,4,1,1.4184397163120568
1904,4,1,1,2,3,4,3,2.0236220472440944
1905,3,3,9,4,4,3,5,2.0604651162790697
1906,2,8,5,6,10,8,7,2.5564202334630353
1907,3,1,2,2,3,4,4,2.4414414414414414
1908,6,9,8,9,9,9,9,7.460176991150443
1909,4,2,2,2,5,2,2,2.168
1910,7,7,7,6,7,8,8,10.347826086956522
1911,2,1,2,1,3,2,2,2.695652173913044
1912,6,5,4,4,4,4,4,5.6075949367088604
1913,6,6,6,5,5,8,9,4.258278145695364
1914,4,2,2,4,10,10,9,1.5967302452316077
1915,3,1,1,2,3,2,2,2.4390243902439024
1916,1,1,1,1,1,1,1,0.0
1917,7,6,9,7,8,10,7,5.586956521739131
1918,1,2,2,1,4,2,2,2.0
1919,6,6,6,7,5,6,7,8.898550724637682
1920,4,5,4,4,6,5,4,5.784810126582278
1921,4,3,2,4,2,3,3,3.658536585365854
1922,3,2,1,2,2,1,1,2.25
1923,4,3,3,4,3,3,6,3.342342342342342
1924,9,9,9,8,8,5,7,5.383561643835617
1925,5,4,4,4,5,5,5,8.622641509433963
1926,9,8,6,9,10,5,5,3.5893719806763285
1927,6,8,8,5,8,7,9,5.282608695652175
1928,7,10,9,6,4,4,3,2.299625468164794
1929,4,4,3,5,3,3,3,4.518987341772151
1930,2,1,1,3,2,3,2,2.4390243902439024
1931,2,1,1,3,1,1,1,1.810126582278481
1932,10,10,10,7,4,5,3,2.287581699346405
1933,1,1,1,1,1,2,2,2.63265306122449
1934,1,2,1,2,3,2,1,2.25
1935,1,3,6,9,6,4,4,1.83984375
1936,7,8,7,5,6,7,5,5.690265486725664
1937,9,8,9,9,9,9,7,10.848101265822784
1938,2,5,4,6,1,8,5,1.8691983122362867
1939,7,6,6,7,8,6,6,8.316455696202532
1940,3,2,4,2,3,4,5,2.963963963963964
1941,3,6,6,5,4,5,8,3.30625
1942,1,4,1,2,4,4,1,1.609271523178808
1943,4,8,9,8,7,8,6,4.25
1944,9,10,10,9,9,8,7,8.2803738317757
1945,5,3,2,3,2,1,5,1.9607843137254901
1946,8,7,5,3,4,3,6,2.635897435897436
1947,10,7,9,9,10,10,8,7.82608695652174
1948,2,2,1,2,2,2,2,4.894736842105264
1949,6,6,5,6,7,5,5,7.513157894736842
1950,3,4,3,5,3,4,6,3.4782608695652177
1951,2,2,2,2,2,1,2,4.894736842105264
1952,10,10,10,10,8,7,5,4.306532663316583
1953,1,1,2,1,1,1,2,2.63265306122449
1954,9,8,10,9,7,8,9,8.744897959183675
1955,6,6,7,7,6,6,6,12.83673469387755
1956,5,6,5,3,3,3,3,3.1007751937984493
1957,6,4,4,3,5,6,7,3.546099290780142
1958,3,2,3,2,3,1,2,3.013157894736842
1959,4,5,5,3,4,3,3,4.288888888888889
1960,5,7,7,7,10,6,7,4.57516339869281
1961,1,1,2,2,1,3,2,2.25
1962,4,3,3,3,4,2,4,4.328947368421052
1963,8,9,8,9,9,10,7,8.744897959183675
1964,4,3,2,1,3,2,4,2.4414414414414414
1965,1,2,1,2,2,1,1,2.6981132075471694
1966,2,2,2,1,1,3,2,2.695652173913044
1967,1,2,4,2,1,1,3,1.7391304347826089
1968,8,7,8,10,10,9,9,7.846846846846847
1969,1,1,1,1,1,1,1,0.0
1970,1,3,2,1,2,2,3,2.4390243902439024
1971,5,7,5,7,5,5,4,4.8053097345132745
1972,3,4,8,6,4,2,3,2.0825242718446604
1973,2,2,2,3,8,3,3,1.5373831775700935
1974,4,5,5,5,5,5,5,12.789473684210527
1975,1,3,3,1,4,1,2,1.7685950413223142
1976,3,4,8,5,4,4,4,2.8209876543209877
1977,7,7,9,8,8,7,9,8.733333333333334
1978,5,4,3,3,4,6,4,3.869158878504672
1979,1,1,1,1,1,1,1,0.0
1980,9,9,9,9,8,9,9,23.31578947368421
1981,3,3,3,5,9,10,9,1.8691588785046729
1982,9,9,8,10,8,10,8,9.844444444444443
1983,2,1,1,1,1,1,2,2.63265306122449
1984,1,1,2,1,1,2,1,2.63265306122449
1985,3,2,1,1,1,1,5,1.3071895424836601
1986,1,1,1,1,1,1,1,0.0
1987,2,2,1,1,2,1,1,2.6981132075471694
1988,10,7,9,6,9,10,10,5.4437500000000005
1989,5,5,6,7,2,4,5,3.0955414012738856
1990,2,2,1,1,1,1,1,2.63265306122449
1991,7,8,9,7,7,9,10,6.7272727272727275
1992,6,5,4,4,5,4,7,4.347826086956522
1993,2,1,1,1,1,1,1,2.9999999999999996
1994,2,1,1,1,1,1,1,2.9999999999999996
1995,3,6,7,6,4,7,5,3.596026490066225
1996,6,5,8,6,5,5,4,4.3858267716535435
1997,6,6,6,5,6,5,8,6.0
1998,4,4,5,4,5,3,4,6.0
1999,1,1,2,1,1,1,1,2.9999999999999996
2000,5,5,3,5,2,3,4,3.190082644628099
2001,1,1,1,1,1,1,1,0.0
2002,4,3,3,7,7,6,4,2.745762711864407
2003,1,1,2,3,2,2,5,1.6594202898550727
2004,10,10,8,8,8,7,5,4.624277456647399
2005,1,1,2,1,1,1,2,2.63265306122449
2006,4,8,7,5,6,9,6,3.738372093023256
2007,6,10,8,9,8,9,9,6.637795275590551
2008,6,6,5,7,6,6,4,6.010526315789474
2009,7,5,5,7,7,6,7,6.621052631578948
2010,3,4,3,3,5,3,5,3.905263157894737
2011,1,2,1,2,1,1,1,2.63265306122449
2012,2,2,2,2,2,1,3,3.4482758620689657
2013,3,2,2,2,3,3,2,4.584905660377358
2014,1,3,2,3,4,1,1,1.7685950413223142
2015,6,5,4,5,7,4,5,4.803738317757008
2016,3,3,3,4,3,3,8,2.075268817204301
2017,8,9,5,5,4,6,5,3.278688524590164
2018,3,5,6,5,5,8,10,2.5974025974025974
2019,5,2,5,6,8,8,6,2.7718446601941746
2020,10,10,10,10,10,10,9,25.94736842105263
2021,2,3,1,2,1,2,2,2.695652173913044
2022,1,1,1,1,1,1,1,0.0
2023,8,9,9,10,10,9,8,10.975609756097562
2024,8,7,7,8,9,9,7,8.733333333333334
2025,1,1,1,1,1,1,2,2.9999999999999996
2026,1,1,1,1,1,1,1,0.0
2027,1,2,2,1,1,1,1,2.63265306122449
2028,5,2,2,3,3,2,2,2.4414414414414414
2029,6,6,8,9,8,6,7,5.900826446280992
2030,1,1,2,2,1,1,2,2.6981132075471694
2031,7,6,5,7,7,6,5,6.822222222222222
2032,2,2,2,3,1,3,7,1.4666666666666666
2033,2,2,2,2,2,2,2,0.0
2034,1,3,1,1,1,3,3,1.7383177570093458
2035,5,9,7,8,7,8,10,4.81875
2036,6,4,1,2,7,2,3,1.600896860986547
2037,7,8,7,7,6,7,9,7.673684210526316
2038,2,1,1,3,2,2,2,2.695652173913044
2039,4,6,9,7,9,8,6,3.8251366120218577
2040,1,1,1,1,1,1,1,0.0
2041,10,10,10,9,8,7,10,7.553719008264464
2042,7,6,4,7,8,7,10,3.8251366120218577
2043,2,1,1,1,1,1,1,2.9999999999999996
2044,4,4,3,5,3,3,4,4.881578947368421
2045,8,4,5,4,4,6,7,3.3518518518518516
2046,2,1,1,1,1,1,3,1.810126582278481
2047,1,2,1,2,3,2,1,2.25
2048,6,6,9,7,2,5,5,2.6682242990654204
2049,4,2,2,2,4,3,3,3.1777777777777776
2050,4,3,2,2,3,2,2,3.253164556962025
2051,10,8,10,6,10,8,9,5.8066666666666675
2052,2,2,4,1,2,3,2,2.4105263157894736
2053,4,5,5,6,6,5,4,6.097560975609756
2054,4,2,4,7,4,10,10,1.8427672955974843
2055,3,4,7,5,8,6,7,3.172222222222222
2056,2,4,5,3,8,3,5,2.1666666666666665
2057,3,3,3,3,3,3,6,3.035398230088496
2058,10,8,9,8,8,7,8,8.726315789473684
2059,7,4,7,9,10,8,10,3.707547169811321
2060,6,5,6,6,7,7,6,8.898550724637682
2061,1,2,2,1,1,1,1,2.63265306122449
2062,8,9,9,9,9,8,7,10.670886075949367
2063,3,9,8,3,6,7,5,2.5042735042735047
2064,4,3,6,4,4,3,4,4.0
2065,1,1,2,1,2,1,2,2.6981132075471694
2066,1,2,2,2,2,3,2,3.4482758620689657
2067,1,1,2,1,1,2,2,2.6981132075471694
2068,4,4,4,3,8,9,5,2.3100436681222707
2069,2,2,1,2,2,3,2,3.4482758620689657
2070,9,8,6,10,8,9,7,6.029629629629629
2071,3,1,2,1,4,2,4,1.9133858267716537
2072,7,9,9,9,9,7,7,7.607476635514018
2073,1,3,2,1,1,3,4,1.7685950413223142
2074,3,4,2,4,7,5,4,2.6369426751592355
2075,2,3,3,3,7,9,4,1.7237354085603114
2076,3,5,3,4,4,4,3,4.881578947368421
2077,9,9,9,9,8,9,9,23.31578947368421
2078,4,5,4,8,4,4,4,3.14
2079,4,5,5,6,5,6,6,6.9605263157894735
2080,6,6,8,7,6,6,7,8.316455696202532
2081,2,3,2,2,1,2,3,3.1014492753623193
2082,5,7,9,5,9,7,6,4.083333333333334
2083,3,5,6,5,5,5,4,4.957894736842105
2084,2,1,1,1,1,1,1,2.9999999999999996
2085,3,4,3,1,6,1,2,1.615819209039548
2086,2,2,2,3,4,2,2,3.0759493670886076
2087,5,6,3,7,6,8,7,3.6809815950920246
2088,1,1,1,1,1,1,1,0.0
2089,8,7,9,5,8,9,9,5.383561643835617
2090,2,2,1,1,5,4,3,1.7019867549668872
2091,6,6,7,9,4,7,8,4.19375
2092,5,6,3,4,5,5,8,3.273885350318471
2093,3,5,4,1,3,4,5,2.5500000000000003
2094,8,5,7,5,6,8,7,5.1732283464566935
2095,4,5,10,1,8,1,1,1.1785714285714286
2096,5,6,3,7,3,1,5,2.0825242718446604
2097,3,3,1,2,2,1,2,2.4390243902439024
2098,2,2,2,2,2,1,2,4.894736842105264
2099,1,3,4,4,3,4,6,2.3642384105960264
2100,2,2,1,3,1,1,1,1.9873417721518987
2101,3,3,4,4,6,4,3,3.6074766355140184
2102,1,1,1,1,2,1,1,2.9999999999999996
2103,7,6,8,7,8,7,10,5.960629921259843
2104,1,1,1,1,2,1,1,2.9999999999999996
2105,6,5,6,6,7,7,8,6.561224489795918
2106,4,9,9,7,5,5,7,3.301507537688442
2107,9,10,10,2,9,8,7,2.817204301075269
2108,7,9,7,8,5,8,6,5.288888888888888
2109,2,4,3,3,2,2,3,3.5657894736842106
2110,4,3,3,5,4,6,6,3.4881889763779523
2111,7,7,7,7,8,5,6,7.063157894736842
2112,2,9,3,4,3,5,4,1.8733624454148472
2113,2,3,3,4,3,3,3,5.172413793103448
2114,1,1,1,1,2,1,1,2.9999999999999996
2115,2,2,2,1,2,1,4,2.0
2116,8,8,8,8,9,8,7,13.793103448275863
2117,8,8,9,6,6,9,5,4.5562499999999995
2118,4,9,9,10,8,9,9,4.186868686868687
2119,1,2,1,2,2,2,1,2.9622641509433962
2120,7,4,3,5,3,1,3,1.962962962962963
2121,2,1,2,1,2,1,1,2.6981132075471694
2122,7,6,7,5,8,10,8,4.5562499999999995
2123,1,1,1,2,1,2,2,2.6981132075471694
2124,3,2,1,2,2,2,2,3.4482758620689657
2125,10,8,6,6,6,7,5,4.083333333333334
2126,3,3,4,4,5,4,9,2.2077294685990343
2127,5,6,6,6,6,5,5,10.50943396226415
2128,1,2,3,3,1,1,1,1.8
2129,7,9,6,8,6,8,8,6.575221238938053
2130,2,2,3,3,2,2,4,3.253164556962025
2131,7,8,5,10,10,4,8,3.230434782608696
2132,1,1,1,1,1,1,2,2.9999999999999996
2133,5,4,6,6,6,6,5,6.873417721518987
2134,2,2,2,3,2,3,4,3.253164556962025
2135,4,2,1,3,10,3,3,1.266211604095563
2136,3,4,7,4,6,6,4,3.3287671232876717
2137,3,3,3,4,6,4,3,3.342342342342342
2138,1,2,3,4,3,2,1,2.063063063063063
2139,6,5,8,7,6,5,6,5.738317757009345
2140,6,7,5,4,4,4,5,4.347826086956522
2141,9,9,4,10,9,9,9,4.236180904522613
2142,6,5,4,7,6,6,5,5.683673469387755
2143,6,7,6,6,6,4,5,6.010526315789474
2144,1,2,3,1,1,1,1,1.810126582278481
2145,4,5,4,5,6,10,7,2.7641509433962264
2146,4,7,4,3,3,3,3,2.643835616438356
2147,1,2,1,3,5,3,5,1.7023809523809523
2148,4,5,1,1,1,4,1,1.3425414364640884
